Estado - Sigla;Municipio;Revenda;Nome da Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
SP;CAMPINAS;POSTO DE PONTA LTDA;AVENIDA SANTA IZABEL;BARAO GERALDO;13024-500;GASOLINA;05/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;POSTO DE PONTA LTDA;AVENIDA SANTA IZABEL;BARAO GERALDO;13024-500;ETANOL;05/01/2021;3,099;R$ / litro;IPIRANGA
SP;CAMPINAS;ANDRÉA SANTINI REGO;AVENIDA BRASIL;GUANABARA;13023-020;GASOLINA;05/01/2021;4,299;R$ / litro;RAIZEN
SP;CAMPINAS;ANDRÉA SANTINI REGO;AVENIDA BRASIL;GUANABARA;13023-020;ETANOL;05/01/2021;3,099;R$ / litro;RAIZEN
SP;CAMPINAS;NOTRE DAME AUTO POSTO DE COMBUSTÍVEIS LTDA.;RUA ADALBERTO MAIA;TAQUARAL;13076-007;GASOLINA;05/01/2021;3,999;R$ / litro;BRANCA
SP;CAMPINAS;NOTRE DAME AUTO POSTO DE COMBUSTÍVEIS LTDA.;RUA ADALBERTO MAIA;TAQUARAL;13076-007;ETANOL;05/01/2021;2,899;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO JARDIM DOM BOSCO LTDA;AVENIDA NOSSA SRA DE FATIMA;JD DOM BOSCO;13024-500;GASOLINA;05/01/2021;4,159;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO JARDIM DOM BOSCO LTDA;AVENIDA NOSSA SRA DE FATIMA;JD DOM BOSCO;13024-500;ETANOL;05/01/2021;2,959;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO PENTA 2002 LTDA;RUA JOAQUIM MANUEL DE MACEDO;JD. SANTA GENEBRA;13080-470;GASOLINA;05/01/2021;4,099;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO PENTA 2002 LTDA;RUA JOAQUIM MANUEL DE MACEDO;JD. SANTA GENEBRA;13080-470;ETANOL;05/01/2021;2,899;R$ / litro;BRANCA
SP;CAMPINAS;CENTRO AUTOMOTIVO PINDORAMA LTDA;AVENIDA PRESIDENTE JUSCELINO;JARDIM IPIRANGA;13060-858;GASOLINA;05/01/2021;4,049;R$ / litro;BRANCA
SP;CAMPINAS;CENTRO AUTOMOTIVO PINDORAMA LTDA;AVENIDA PRESIDENTE JUSCELINO;JARDIM IPIRANGA;13060-858;ETANOL;05/01/2021;2,899;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO GLOBAL DE CAMPINAS LTDA;RUA MARQUES DE VALENÇA;JD. SANTA GENEBRA;13080-230;GASOLINA;05/01/2021;4,179;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO GLOBAL DE CAMPINAS LTDA;RUA MARQUES DE VALENÇA;JD. SANTA GENEBRA;13080-230;ETANOL;05/01/2021;2,979;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO DA TORRE LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-001;GASOLINA;05/01/2021;4,299;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO DA TORRE LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-001;ETANOL;05/01/2021;3,199;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO CAMPINEIRA LTDA;AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA;BARAO GERALDO;13084-008;GASOLINA;05/01/2021;4,179;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO CAMPINEIRA LTDA;AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA;BARAO GERALDO;13084-008;ETANOL;05/01/2021;2,979;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO NOVA ERA UNIVERSAL LTDA;RUA EVARISTO CORREA VIANA;JD.ANTONIO VON ZUBEN;13044-650;GASOLINA;05/01/2021;4,099;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO NOVA ERA UNIVERSAL LTDA;RUA EVARISTO CORREA VIANA;JD.ANTONIO VON ZUBEN;13044-650;ETANOL;05/01/2021;2,899;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO POIARES LTDA;AVENIDA MONSENHOR GERONIMO BAGGIO;VILA NOVA;13075-350;GASOLINA;05/01/2021;4,157;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO POIARES LTDA;AVENIDA MONSENHOR GERONIMO BAGGIO;VILA NOVA;13075-350;ETANOL;05/01/2021;2,987;R$ / litro;BRANCA
SP;CAMPINAS;POSTO ECO-2000 LTDA;AVENIDA WASHINGTON LUIZ;VILA MARIETA;13043-000;GASOLINA;05/01/2021;4,199;R$ / litro;IPIRANGA
SP;CAMPINAS;POSTO ECO-2000 LTDA;AVENIDA WASHINGTON LUIZ;VILA MARIETA;13043-000;ETANOL;05/01/2021;2,899;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO FUTURO LTDA;RUA ALBINO JOSE BARBOSA DE OLIVEIRA;DISTRITO BARAO GERALDO;13085-510;GASOLINA;05/01/2021;4,199;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO FUTURO LTDA;RUA ALBINO JOSE BARBOSA DE OLIVEIRA;DISTRITO BARAO GERALDO;13085-510;ETANOL;05/01/2021;2,999;R$ / litro;RAIZEN
SP;CAMPINAS;CAMPINAS MODELO AUTO POSTO LTDA;RUA PADRE MANOEL BERNARDES;JD NS AUXILIADORA;13087-320;GASOLINA;05/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;CAMPINAS MODELO AUTO POSTO LTDA;RUA PADRE MANOEL BERNARDES;JD NS AUXILIADORA;13087-320;ETANOL;05/01/2021;2,999;R$ / litro;IPIRANGA
SP;CAMPINAS;CENTRO AUTOMOTIVO RIVIERA POMPÉIA LTDA.;AVENIDA MIRANDOPOLIS;VILA POMPEIA;13050-360;GASOLINA;05/01/2021;3,979;R$ / litro;BRANCA
SP;CAMPINAS;CENTRO AUTOMOTIVO RIVIERA POMPÉIA LTDA.;AVENIDA MIRANDOPOLIS;VILA POMPEIA;13050-360;ETANOL;05/01/2021;2,876;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO VO JOAO LTDA;AVENIDA ALBINO B DE OLIVEIRA;CERAMICA STA LUZIA;13083-000;GASOLINA;05/01/2021;4,179;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO VO JOAO LTDA;AVENIDA ALBINO B DE OLIVEIRA;CERAMICA STA LUZIA;13083-000;ETANOL;05/01/2021;2,979;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO PICARRAO LTDA;AVENIDA JORGE TIBIRICA;JD DOS OLIVEIRAS;13045-705;ETANOL;05/01/2021;2,799;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;POSTO PARQUE TAQUARAL LTDA;RUA ALMEIDA GARRET;TAQUARAL;13087-291;GASOLINA;05/01/2021;4,397;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO PARQUE TAQUARAL LTDA;RUA ALMEIDA GARRET;TAQUARAL;13087-291;ETANOL;05/01/2021;3,097;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO RIO DAS PEDRAS LTDA;RUA MARIA TEREZA DIAS SILVA;BARAO GERALDO;13024-500;GASOLINA;05/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO RIO DAS PEDRAS LTDA;RUA MARIA TEREZA DIAS SILVA;BARAO GERALDO;13024-500;ETANOL;05/01/2021;3,096;R$ / litro;IPIRANGA
SP;CAMPINAS;COMERCIAL PRESIDENTE JUSCELINO LTDA;AVENIDA PRES JUSCELINO;JD CAMPOS ELISEOS;13058-340;GASOLINA;05/01/2021;4,049;R$ / litro;BRANCA
SP;CAMPINAS;COMERCIAL PRESIDENTE JUSCELINO LTDA;AVENIDA PRES JUSCELINO;JD CAMPOS ELISEOS;13058-340;ETANOL;05/01/2021;2,899;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO CAZZONATTO LTDA;RUA CAROLINA FLORENCE;VILA NOVA;13075-250;GASOLINA;05/01/2021;4,157;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO CAZZONATTO LTDA;RUA CAROLINA FLORENCE;VILA NOVA;13075-250;ETANOL;05/01/2021;2,957;R$ / litro;BRANCA
SP;CAMPINAS;POSTO POLEZEL LTDA;RUA PAULA BUENO;GUANABARA;13076-061;GASOLINA;05/01/2021;4,087;R$ / litro;BRANCA
SP;CAMPINAS;POSTO POLEZEL LTDA;RUA PAULA BUENO;GUANABARA;13076-061;ETANOL;05/01/2021;2,897;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO ESKEMA LTDA;AVENIDA ANA BEATRIZ BIERREMBACH;VILA MIMOSA;13050-060;GASOLINA;05/01/2021;4,399;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO ESKEMA LTDA;AVENIDA ANA BEATRIZ BIERREMBACH;VILA MIMOSA;13050-060;ETANOL;05/01/2021;3,099;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO ITAMARATY CASTELO LTDA;RUA ORLANDO CARPINO;JARDIM CHAPADAO;13070-143;GASOLINA;05/01/2021;4,199;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO ITAMARATY CASTELO LTDA;RUA ORLANDO CARPINO;JARDIM CHAPADAO;13070-143;ETANOL;05/01/2021;2,959;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO DA LAGOA LTDA;AVENIDA HEITOR PENTEADO;JD NOSSA SRA AUXIL;13075-460;GASOLINA;05/01/2021;4,597;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO DA LAGOA LTDA;AVENIDA HEITOR PENTEADO;JD NOSSA SRA AUXIL;13075-460;ETANOL;05/01/2021;3,197;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO CASTELO CAMPINAS LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-001;GASOLINA;05/01/2021;4,299;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO CASTELO CAMPINAS LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-001;ETANOL;05/01/2021;2,999;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO CASTELINHO LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-000;GASOLINA;05/01/2021;4,079;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO CASTELINHO LTDA;AVENIDA ANDRADE NEVES;CASTELO;13070-000;ETANOL;05/01/2021;2,879;R$ / litro;BRANCA
SP;CAMPINAS;ALMEIDA & L. OLIVEIRA COMÉRCIO DE COMBUSTÍVEIS LTDA.;AVENIDA JOHN BOYD DUNLOP;CHACARA REPUBLICA;13100-000;GASOLINA;05/01/2021;4,177;R$ / litro;RAIZEN
SP;CAMPINAS;ALMEIDA & L. OLIVEIRA COMÉRCIO DE COMBUSTÍVEIS LTDA.;AVENIDA JOHN BOYD DUNLOP;CHACARA REPUBLICA;13100-000;ETANOL;05/01/2021;2,977;R$ / litro;RAIZEN
SP;CAMPINAS;SERV POSTO OASIS LTDA;AVENIDA BARAO DE ITAPURA;TAQUARAL;13076-000;GASOLINA;05/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;SERV POSTO OASIS LTDA;AVENIDA BARAO DE ITAPURA;TAQUARAL;13076-000;ETANOL;05/01/2021;2,999;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO SANTO ANTONIO DE CAMPINAS LTDA;AVENIDA ENG ANTONIO FCO P SOUZA;VILA PARAISO;13043-540;GASOLINA;05/01/2021;4,199;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO SANTO ANTONIO DE CAMPINAS LTDA;AVENIDA ENG ANTONIO FCO P SOUZA;VILA PARAISO;13043-540;ETANOL;05/01/2021;2,899;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO BABALU LTDA;AVENIDA ANDRADE NEVES;CHAPADÃO;13100-000;GASOLINA;05/01/2021;4,077;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO BABALU LTDA;AVENIDA ANDRADE NEVES;CHAPADÃO;13100-000;ETANOL;05/01/2021;2,897;R$ / litro;BRANCA
SP;CAMPINAS;POSTO BIG ANHANGUERA LTDA.;RUA JACY TEIXEIRA DE CAMARGO;JARDIM DO LAGO;13050-008;GASOLINA;05/01/2021;4,099;R$ / litro;BRANCA
SP;CAMPINAS;POSTO BIG ANHANGUERA LTDA.;RUA JACY TEIXEIRA DE CAMARGO;JARDIM DO LAGO;13050-008;ETANOL;05/01/2021;2,799;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO PORTAL MIRANDOPOLIS LTDA;AVENIDA DAS AMOREIRAS;JARDIM DO LAGO;13050-035;ETANOL;05/01/2021;2,989;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;CENTRO AUTOMOTIVO CIDADE UNIVERSITÁRIA LTDA;AVENIDA DOUTOR ROMEU TORTIMA;CIDADE UNIVERSITÁRIA;13084-000;GASOLINA;05/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;CENTRO AUTOMOTIVO CIDADE UNIVERSITÁRIA LTDA;AVENIDA DOUTOR ROMEU TORTIMA;CIDADE UNIVERSITÁRIA;13084-000;ETANOL;05/01/2021;3,099;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO JARDIM LONDRES LTDA;RUA GERALDO NOGUEIRA PORTO;JD LONDRES;13060-255;GASOLINA;05/01/2021;4,377;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO JARDIM LONDRES LTDA;RUA GERALDO NOGUEIRA PORTO;JD LONDRES;13060-255;ETANOL;05/01/2021;2,977;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO PORTAL DA LAGOA LTDA;RUA DOUTOR ARMANDO SALES DE OLIVEIRA;TAQUARAL;13076-015;GASOLINA;05/01/2021;4,399;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO PORTAL DA LAGOA LTDA;RUA DOUTOR ARMANDO SALES DE OLIVEIRA;TAQUARAL;13076-015;ETANOL;05/01/2021;3,099;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO TIMBO LTDA;RUA ALBERTO FARIA;GUANABARA;13075-140;GASOLINA;05/01/2021;4,297;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO TIMBO LTDA;RUA ALBERTO FARIA;GUANABARA;13075-140;ETANOL;05/01/2021;3,197;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO MARROHE LTDA;AVENIDA DOUTOR ALBERTO SARMENTO;BONFIM;13070-711;GASOLINA;05/01/2021;4,199;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO MARROHE LTDA;AVENIDA DOUTOR ALBERTO SARMENTO;BONFIM;13070-711;ETANOL;05/01/2021;3,099;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO 100 LTDA.;RUA RANCHARIA;JARDIM DO TREVO;13040-021;GASOLINA;05/01/2021;4,298;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO 100 LTDA.;RUA RANCHARIA;JARDIM DO TREVO;13040-021;ETANOL;05/01/2021;3,049;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;POSTO DE SERVICO JARDIM BONFIM LTDA;AVENIDA BARAO DE MONTE ALEGRE;JARDIM BONFIM;13032-525;GASOLINA;05/01/2021;4,099;R$ / litro;BRANCA
SP;CAMPINAS;POSTO DE SERVICO JARDIM BONFIM LTDA;AVENIDA BARAO DE MONTE ALEGRE;JARDIM BONFIM;13032-525;ETANOL;05/01/2021;2,859;R$ / litro;BRANCA
SP;CAMPINAS;CAPTIVA AUTO POSTO E SERVICOS LTDA;RUA PAULA BUENO;TAQUARAL;13076-061;GASOLINA;05/01/2021;4,199;R$ / litro;BRANCA
SP;CAMPINAS;CAPTIVA AUTO POSTO E SERVICOS LTDA;RUA PAULA BUENO;TAQUARAL;13076-061;ETANOL;05/01/2021;2,879;R$ / litro;BRANCA
SP;CAMPINAS;CENTRO AUTOMOTIVO PORTAL DAS AMOREIRAS LTDA;AVENIDA DAS AMOREIRAS;JARDIM DO LAGO;13050-035;GASOLINA;05/01/2021;4,499;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;CENTRO AUTOMOTIVO PORTAL DAS AMOREIRAS LTDA;AVENIDA DAS AMOREIRAS;JARDIM DO LAGO;13050-035;ETANOL;05/01/2021;3,199;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;COMERCIAL DE COMBUSTIVEIS GUARANI US LTDA.;AVENIDA PRINCESA D OESTE;VILA LEMOS;13100-040;GASOLINA;13/01/2021;4,397;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
